OverallQual,GrLivArea,GarageCars,TotalBsmtSF,SalePrice
7,1959,2,847,215000
5,936,2,936,140000
4,1981,2,1122,135000
5,974,0,974,93500
6,2210,1,1008,117500
8,2020,2,1128,239500
6,1600,2,916,169000
6,986,1,960,102000
6,1252,1,1032,119000
5,1020,0,780,94000
6,1567,2,1567,196000
5,1167,2,915,144000
5,952,2,952,139000
5,1868,2,780,197500
8,2828,3,1466,424870
5,1006,0,1006,80000
4,924,1,672,80000
5,1576,1,1042,149000
6,1298,2,1298,180000
7,1564,1,704,174500
7,1111,1,572,116900
7,1482,2,650,143000
6,932,1,932,124000
5,1466,2,1466,149900
6,1811,2,1073,230000
6,816,1,816,120500
7,1820,2,864,201800
5,1437,2,1437,218000
5,1265,2,1219,179900
7,1314,2,1314,230000
8,1580,3,1580,235128
6,1876,2,901,185000
6,1456,2,855,146000
6,1640,2,1296,224000
5,894,2,894,129000
4,1258,2,1198,108959
5,1432,2,1360,194000
7,1502,2,1502,233170
8,1694,3,1694,245350
6,1671,2,959,173000
6,2108,2,1127,235000
10,3627,3,1930,625000
6,1118,1,1096,171000
6,1261,2,1261,163000
7,1250,2,625,171900
5,3086,0,1598,200500
6,2345,2,952,239000
8,2872,2,1683,285000
5,923,1,876,119500
6,1224,1,818,115000
5,1343,1,731,154900
5,1124,0,0,93000
7,2514,2,1216,250000
8,1652,2,1600,392500
10,4476,3,2396,745000
5,1130,2,1120,120000
5,1572,3,1572,186700
5,1221,1,784,104900
3,1699,2,978,95000
8,1624,3,1624,262000
7,1660,2,831,195000
7,1804,2,994,189000
4,1622,4,1249,168000
8,1441,2,776,174000
5,1472,1,702,125000
6,1224,2,1224,165000
6,1352,1,663,158000
6,1456,2,728,176000
7,1863,3,879,219210
7,1690,1,815,144000
7,1212,2,1212,178000
4,1382,2,1051,148000
4,864,1,864,116050
7,1779,2,866,197900
5,1348,1,884,117000
7,1630,2,1630,213000
5,1074,2,1056,153500
7,2196,3,2158,271900
4,1056,1,1056,107000
6,1700,2,1682,200000
5,1283,2,931,140000
8,1660,2,1660,290000
6,1845,2,1055,189000
8,1752,2,559,164000
4,672,1,672,113000
4,960,1,648,145000
5,999,1,925,134500
5,894,1,894,125000
6,1902,2,0,112000
8,1314,2,1300,229456
4,912,0,0,80500
6,1218,0,672,91500
5,912,1,912,115000
5,1211,1,952,134000
6,1846,1,1040,143000
5,2136,2,2136,137900
7,1490,2,788,184000
6,1138,1,588,145000
6,1933,3,894,214000
5,912,2,912,147000
9,1702,3,1702,367294
5,1507,1,1075,127000
5,2620,2,1361,190000
5,1190,2,1106,132500
4,1224,2,0,101800
5,1188,2,1188,142000
5,1964,0,940,130000
5,1784,1,747,138887
7,1626,2,764,175500
7,1948,2,847,195000
6,1141,2,1141,142500
8,1484,2,1476,265900
7,1768,2,884,224900
7,1689,3,1689,248328
7,1173,2,1053,170000
10,2076,3,2076,465000
8,1517,2,792,230000
6,1868,2,585,178000
7,1553,2,756,186500
6,1034,3,1012,169900
6,2058,2,735,129500
5,988,1,876,119000
7,2110,2,2110,244000
7,1405,2,1405,171750
5,874,1,864,130000
7,2167,2,1192,294000
7,1656,2,746,165400
6,1367,1,884,127500
8,1987,2,1986,301500
5,864,0,864,99900
7,1166,2,856,190000
6,1054,2,1054,151000
6,1675,2,841,181000
5,1050,1,1050,128900
4,1788,1,1104,161500
6,1824,2,764,180500
6,1337,2,1405,181000
7,1452,2,691,183900
7,1889,1,925,122000
9,2018,3,2002,378500
8,3447,3,728,381000
5,1524,1,874,144000
7,1524,2,1332,260000
6,1489,2,1489,185750
5,935,1,935,137000
6,1357,1,1019,177000
5,1250,2,661,139000
5,1920,2,928,137000
6,1395,2,723,162000
6,1724,2,1680,197900
8,2031,2,1128,237000
4,1128,2,698,68400
7,1573,2,1573,227000
7,1339,2,1309,180000
5,1040,2,1040,150500
6,1824,0,912,139000
6,2447,1,804,169000
6,1412,1,780,132500
6,1328,2,1328,143000
5,1582,2,1624,190000
8,1659,2,1501,278000
8,1970,3,1085,281000
5,1152,2,1152,180500
5,1302,1,630,119500
5,2372,1,994,107500
7,1664,2,832,162900
5,864,2,864,115000
5,1052,1,1052,138500
5,1128,2,1120,155000
6,1072,2,547,140000
10,5642,2,6110,160000
5,1246,1,1246,154000
7,1983,2,978,225000
6,1494,1,771,177500
8,2526,3,1165,290000
7,1616,3,1616,232000
7,1708,2,976,130000
9,1652,2,1652,325000
7,1368,2,1368,202500
5,990,2,990,138000
5,1122,2,924,147000
6,1294,2,1278,179200
7,1902,2,1902,335000
7,1274,2,1274,203000
8,2810,2,1453,302000
9,2599,3,1393,333168
4,948,1,948,119000
6,2112,2,952,206900
8,1630,3,1622,295493
7,1352,2,1352,208900
8,1787,3,1753,275000
4,948,1,864,111000
6,1478,2,1478,156500
3,720,1,0,72500
7,1923,2,750,190000
4,708,0,420,82500
8,1795,3,1795,147000
4,796,0,796,55000
3,774,0,544,79000
5,816,1,816,130500
6,2792,2,1510,256000
7,1632,2,935,176500
8,1588,3,1588,227000
5,954,2,911,132500
4,816,1,816,100000
5,1360,1,803,125500
5,1365,2,765,125000
6,1334,2,1350,167900
5,1656,2,1656,135000
4,693,0,693,52500
7,1861,2,916,200000
5,864,1,864,128500
4,872,4,858,123000
6,1114,2,1114,155000
8,2169,2,1284,228500
6,1913,2,896,177000
7,1456,2,728,155835
4,960,1,960,108500
7,2156,2,1568,262500
8,1776,3,1732,283463
7,1494,2,1482,215000
8,2358,0,684,122000
5,2634,4,1248,200000
6,1716,2,858,171000
6,1176,2,698,134900
8,3238,3,2033,410000
7,1865,3,992,235000
7,1920,2,570,170000
5,892,1,864,110000
5,1078,2,1078,149900
6,1573,2,756,177500
9,1980,3,1980,315000
5,2601,2,612,189000
7,1530,2,1530,260000
4,1738,1,715,104900
6,1412,2,616,156932
7,1200,2,600,144152
7,1674,2,814,216000
7,1790,2,873,193000
5,1475,1,757,127000
6,848,2,848,144000
8,1668,2,1657,232000
4,1374,1,840,105000
6,1661,1,992,165500
7,2097,2,1108,274300
10,2633,3,2633,466500
7,1958,3,1026,250000
8,1571,3,1571,239000
6,790,1,768,91000
5,1604,2,984,117000
6,987,1,483,83000
5,1394,2,384,167500
3,864,1,864,58500
6,2117,2,1205,237500
7,1762,2,596,157000
5,1416,2,816,112000
6,1258,1,560,105000
4,1154,1,796,125500
7,2784,2,1392,250000
6,2526,1,714,136000
9,1746,3,1746,377500
6,1218,2,735,131000
7,1525,2,1525,235000
5,1584,3,1584,124000
5,900,1,864,123000
6,1912,2,482,163000
7,1500,3,1356,246578
8,2482,3,1094,281213
5,1687,2,747,160000
5,1513,1,939,137500
5,1904,1,1208,138000
6,1608,1,976,137450
6,1158,1,862,120000
6,1593,2,839,193000
7,1294,2,1286,193879
8,1464,3,1485,282922
3,1214,3,672,105000
8,1646,2,1594,275000
5,768,2,768,133000
5,833,0,833,112000
4,1363,2,622,125500
7,2093,2,791,215000
7,1840,2,944,230000
6,1668,1,856,140000
4,1040,2,0,90000
8,1844,2,1844,257000
6,1848,2,833,207000
7,1569,3,1386,175900
4,2290,2,777,122500
8,2450,3,1284,340000
5,1144,1,1144,124000
6,1844,2,1844,223000
6,1416,2,708,179900
6,1069,2,1069,127500
6,848,2,848,136500
6,2201,2,697,274970
5,1344,1,1024,144000
6,1252,2,1252,142000
7,2127,2,1223,271000
5,1558,1,913,140000
5,804,1,788,119000
6,1440,2,1440,182900
5,1838,2,732,192140
6,958,2,958,143750
4,968,1,656,64500
6,1792,2,936,186500
5,1126,2,1126,160000
6,1537,2,1319,174000
4,864,2,864,120500
8,1932,3,1932,394617
6,1236,2,912,149700
7,1725,2,539,197000
6,2555,2,588,191000
6,848,2,848,149300
10,2007,3,1017,310000
6,952,1,952,121000
7,1422,2,1422,179600
6,913,1,814,129000
5,1188,1,1188,157900
8,2090,2,1220,240000
4,1346,1,560,112000
5,630,0,630,92000
5,1792,0,896,136000
8,1578,3,1573,287090
5,1072,2,547,145000
5,1140,0,1140,84500
7,1221,2,1221,185000
6,1647,2,953,175000
6,2073,2,1542,210000
7,2340,1,1152,266500
5,1078,1,1078,142125
5,1256,1,1256,147500
