MSZoning,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,SalePrice,Years Before Sale,Years Since Remod
RM,Reg,Lvl,AllPub,Inside,Gtl,Artery,Norm,2fmCon,1.5Fin,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,793,TA,Y,SBrkr,793,1118,1,TA,5,Typ,1,2,410,Y,119900,67,56
RL,IR3,Low,AllPub,Inside,Sev,Norm,Norm,1Fam,1Story,7,Hip,CompShg,BrkFace,BrkFace,TA,TA,2136,TA,Y,SBrkr,2036,2036,2,TA,8,Typ,2,2,513,Y,375000,44,44
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,728,Ex,Y,SBrkr,832,1641,1,Ex,6,Typ,1,2,546,Y,178000,81,16
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,716,Ex,Y,SBrkr,716,1432,2,Gd,6,Typ,1,2,432,Y,188500,5,4
RL,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,CemntBd,CmentBd,Gd,TA,845,TA,Y,SBrkr,1153,2353,2,Ex,10,Typ,1,2,484,Y,260000,29,29
FV,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1088,Ex,Y,SBrkr,1088,1959,2,Gd,8,Typ,1,3,1025,Y,270000,1,1
RL,Reg,Low,AllPub,Inside,Mod,Norm,Norm,1Fam,2Story,7,Gable,CompShg,HdBoard,HdBoard,Gd,TA,1347,Ex,Y,SBrkr,1372,2646,2,Gd,9,Typ,1,3,656,Y,260000,16,16
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,SLvl,7,Gable,CompShg,Plywood,Plywood,TA,TA,1372,TA,Y,SBrkr,1472,1472,2,TA,6,Typ,2,2,588,Y,187500,29,29
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,9,Gable,CompShg,VinylSd,VinylSd,TA,TA,1249,Ex,Y,SBrkr,1249,2596,3,Gd,9,Typ,0,3,840,Y,342643,0,0
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1136,Ex,Y,SBrkr,1136,2468,2,Gd,10,Typ,1,3,872,Y,354000,3,3
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,Plywood,Plywood,Gd,TA,1502,Ex,Y,SBrkr,1553,2730,2,Gd,8,Typ,1,2,576,Y,301000,21,20
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,3,Gable,CompShg,VinylSd,VinylSd,TA,Gd,1162,Ex,Y,SBrkr,1163,1163,1,TA,6,Typ,0,1,220,Y,126175,51,1
RL,Reg,Lvl,AllPub,Corner,Gtl,PosN,Norm,1Fam,SLvl,7,Mansard,WdShake,Wd Sdng,Wd Sdng,Gd,Gd,710,Ex,Y,SBrkr,1898,2978,2,Gd,11,Typ,1,2,564,Y,242000,43,3
RM,Reg,Lvl,AllPub,Inside,Gtl,RRAe,Norm,1Fam,1.5Unf,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,720,Po,N,FuseF,803,803,1,TA,5,Typ,0,2,360,Y,87000,66,57
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,TwnhsE,1Story,8,Gable,CompShg,BrkFace,BrkFace,Gd,TA,1719,Ex,Y,SBrkr,1719,1719,1,Gd,6,Typ,2,2,473,Y,324000,15,15
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,1383,TA,Y,SBrkr,1383,1383,1,TA,7,Typ,0,1,292,Y,145250,46,46
RL,IR1,Bnk,AllPub,Inside,Gtl,PosN,Norm,1Fam,2.5Unf,6,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,844,Gd,N,FuseA,1445,2134,2,Gd,10,Typ,0,2,441,Y,214500,93,15
RM,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,5,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,596,TA,N,SBrkr,596,1192,1,TA,6,Typ,0,1,189,N,78000,89,59
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,5,Gable,CompShg,HdBoard,HdBoard,TA,TA,1728,TA,Y,SBrkr,1728,1728,2,TA,10,Typ,0,1,352,Y,119000,43,43
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,1056,Fa,Y,SBrkr,1056,1056,1,TA,6,Typ,0,1,308,Y,139000,49,15
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,3206,Ex,Y,SBrkr,1629,1629,2,Gd,7,Typ,1,3,880,Y,284000,6,5
RM,Reg,Lvl,AllPub,FR3,Gtl,Norm,Norm,TwnhsE,1Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1358,Ex,Y,SBrkr,1358,1358,2,Gd,6,Typ,1,2,484,Y,207000,4,4
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,TA,TA,943,Gd,Y,SBrkr,943,1638,2,TA,7,Typ,2,2,472,Y,192000,10,10
RL,IR1,HLS,AllPub,Corner,Sev,Norm,Norm,2fmCon,1.5Fin,5,Gable,CompShg,Plywood,Plywood,TA,TA,1499,Ex,Y,SBrkr,1619,1786,2,TA,7,Typ,2,2,529,Y,228950,43,43
RL,IR1,HLS,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,9,Hip,CompShg,VinylSd,VinylSd,Gd,TA,1922,Ex,Y,SBrkr,1922,1922,2,Gd,8,Typ,1,3,676,Y,377426,2,1
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1536,Ex,Y,SBrkr,1536,1536,2,Gd,7,Typ,0,2,532,Y,214000,6,5
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,TA,1208,Ex,Y,SBrkr,1621,1621,2,Gd,8,Typ,0,2,440,Y,202500,22,8
RL,IR1,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,1Story,6,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,1215,TA,Y,FuseA,1215,1215,1,TA,6,Typ,0,1,297,Y,155000,51,11
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,967,Ex,Y,SBrkr,993,1908,2,Gd,9,Typ,0,2,431,Y,202900,8,8
RH,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,1Story,4,Gable,CompShg,Wd Sdng,AsbShng,Fa,Fa,721,Gd,Y,SBrkr,841,841,1,TA,4,Typ,0,1,294,N,82000,59,59
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,3,Gable,CompShg,Stucco,Stucco,TA,TA,0,Fa,N,FuseA,1040,1040,2,TA,6,Typ,0,2,400,Y,87500,57,56
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,Hip,CompShg,MetalSd,MetalSd,Ex,TA,1684,Ex,Y,SBrkr,1684,1684,2,Ex,6,Typ,1,2,564,Y,266000,3,3
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,2Story,5,Gable,CompShg,CemntBd,CmentBd,TA,TA,536,TA,Y,SBrkr,536,1112,1,TA,4,Typ,0,1,336,Y,85000,34,34
RL,Reg,Lvl,AllPub,Inside,Gtl,RRAn,Norm,1Fam,1.5Fin,6,Gable,CompShg,MetalSd,MetalSd,TA,TA,972,Gd,Y,SBrkr,972,1577,1,Fa,6,Typ,1,1,312,Y,140200,67,56
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,6,Hip,CompShg,MetalSd,MetalSd,TA,Gd,958,TA,Y,SBrkr,958,958,1,TA,5,Typ,0,1,301,Y,151500,47,9
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,1478,Ex,Y,FuseA,1478,1478,2,TA,6,Typ,2,2,498,Y,157500,49,49
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,7,Gable,CompShg,VinylSd,Wd Shng,Gd,TA,764,Ex,Y,SBrkr,764,1626,2,Gd,6,Typ,0,2,474,Y,154000,5,4
RL,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,9,Hip,CompShg,CemntBd,CmentBd,Ex,TA,1848,Ex,Y,SBrkr,1848,2728,2,Ex,10,Typ,2,3,706,Y,437154,1,0
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,Hip,CompShg,MetalSd,MetalSd,Ex,TA,1869,Ex,Y,SBrkr,1869,1869,2,Ex,6,Typ,1,2,617,Y,318061,0,0
RL,IR1,Low,AllPub,Inside,Mod,Norm,Norm,1Fam,1Story,7,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,1453,Gd,Y,SBrkr,1453,1453,1,Gd,6,Typ,1,2,445,Y,190000,20,20
RL,Reg,Lvl,AllPub,Inside,Gtl,Artery,Norm,1Fam,1.5Fin,5,Gable,CompShg,VinylSd,VinylSd,TA,TA,616,TA,N,SBrkr,616,1111,1,TA,5,Typ,0,1,200,Y,95000,67,58
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,VinylSd,VinylSd,TA,Gd,624,Gd,Y,SBrkr,720,720,1,TA,5,Typ,0,2,484,Y,105900,82,7
RL,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,Gable,CompShg,Wd Sdng,MetalSd,TA,TA,940,Ex,Y,SBrkr,1192,1595,1,TA,6,Typ,2,1,240,Y,140000,66,6
RL,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,VinylSd,VinylSd,Gd,Gd,1200,Ex,Y,SBrkr,1200,1200,2,Gd,6,Typ,0,2,521,Y,177500,12,12
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,HdBoard,HdBoard,TA,TA,1158,Gd,Y,SBrkr,1167,1167,2,Gd,6,Typ,0,2,400,Y,173000,17,17
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,5,Gable,CompShg,CemntBd,CmentBd,TA,TA,1142,TA,Y,SBrkr,1142,1142,1,TA,6,Typ,1,2,528,Y,134000,31,31
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,SLvl,5,Hip,CompShg,Wd Sdng,ImStucc,TA,TA,1062,Ex,Y,FuseF,1352,1352,1,Gd,6,Min2,0,1,288,Y,130000,48,48
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1086,Ex,Y,SBrkr,1086,1924,2,Gd,7,Typ,1,2,592,Y,280000,8,8
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,SFoyer,6,Gable,CompShg,VinylSd,VinylSd,TA,TA,888,Ex,Y,SBrkr,912,912,1,TA,5,Typ,1,2,470,Y,156000,29,29
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,883,Gd,Y,SBrkr,988,1505,1,TA,8,Typ,0,1,240,N,145000,68,26
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,SFoyer,7,Gable,CompShg,HdBoard,HdBoard,Gd,TA,0,Ex,Y,SBrkr,495,1922,3,Gd,7,Typ,1,2,672,Y,198500,6,6
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,6,Gable,CompShg,HdBoard,HdBoard,TA,TA,483,Gd,Y,SBrkr,483,987,1,Gd,5,Typ,0,1,264,Y,118000,37,2
RL,IR1,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,HdBoard,TA,TA,796,TA,Y,SBrkr,790,1574,2,TA,6,Typ,1,2,566,Y,190000,30,30
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,5,Hip,CompShg,VinylSd,VinylSd,TA,Gd,672,Gd,Y,FuseA,672,1344,1,TA,6,Typ,0,1,468,Y,147000,89,12
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Plywood,Plywood,TA,TA,1394,Gd,Y,SBrkr,1394,1394,1,TA,6,Typ,2,2,514,Y,159000,46,46
RL,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,SLvl,6,Gable,Tar&Grv,Plywood,Plywood,TA,TA,1099,Gd,Y,SBrkr,1431,1431,1,TA,6,Typ,1,1,296,Y,165000,46,46
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,TA,TA,1268,Gd,Y,SBrkr,1268,1268,1,TA,7,Typ,1,1,244,Y,132000,56,56
RL,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,Gd,1063,Ex,Y,SBrkr,1287,1287,1,Gd,7,Typ,1,2,576,Y,162000,51,4
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,TA,TA,953,Ex,Y,SBrkr,953,1664,2,TA,7,Typ,1,2,460,Y,172400,6,6
RL,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,1.5Fin,4,Gable,CompShg,WdShing,Plywood,TA,TA,0,TA,Y,SBrkr,1120,1588,2,TA,7,Min2,1,2,680,N,134432,49,49
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,6,Gable,CompShg,Plywood,Plywood,TA,TA,744,TA,Y,SBrkr,752,752,1,TA,4,Typ,0,1,264,Y,125000,26,26
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,608,TA,Y,SBrkr,1319,1319,1,TA,5,Min2,0,1,270,Y,123000,56,56
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,847,Ex,Y,SBrkr,847,1928,2,Gd,8,Typ,1,2,434,Y,219500,4,3
RL,IR1,Low,AllPub,Inside,Sev,Norm,Norm,1Fam,1Story,1,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,Fa,683,Gd,N,FuseA,904,904,0,Fa,4,Maj1,0,0,0,Y,61000,87,59
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,SFoyer,5,Gable,CompShg,VinylSd,VinylSd,Gd,TA,870,Ex,Y,SBrkr,914,914,1,TA,5,Typ,0,2,576,Y,148000,10,10
FV,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,CemntBd,CmentBd,Gd,TA,1580,Ex,Y,SBrkr,1580,2466,3,Gd,8,Typ,1,2,610,Y,340000,3,2
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,9,Hip,CompShg,VinylSd,VinylSd,Gd,TA,1856,Ex,Y,SBrkr,1856,1856,1,Ex,8,Typ,1,3,834,Y,394432,0,0
RL,IR1,Lvl,AllPub,Inside,Gtl,RRAn,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,TA,TA,982,Ex,Y,SBrkr,1007,1800,2,TA,7,Typ,1,2,463,Y,179000,9,9
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,1026,TA,Y,SBrkr,1026,1691,2,Gd,6,Typ,1,1,308,Y,127000,86,60
FV,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1293,Ex,Y,SBrkr,1301,1301,2,Gd,5,Typ,1,2,572,Y,187750,0,0
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,939,Ex,Y,SBrkr,939,1797,2,Gd,8,Typ,0,2,639,Y,213500,1,1
RH,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1.5Unf,6,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,784,TA,N,FuseA,784,784,1,TA,5,Typ,0,2,360,N,76000,81,59
RL,IR2,Low,AllPub,Corner,Mod,Feedr,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,HdBoard,Gd,TA,1580,Ex,Y,SBrkr,1079,1953,2,Gd,9,Typ,2,2,501,Y,240000,15,15
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1256,Ex,Y,SBrkr,1269,1269,2,Gd,6,Typ,1,2,430,Y,192000,6,5
RL,Reg,Lvl,AllPub,FR2,Gtl,Feedr,Norm,1Fam,1.5Fin,5,Gambrel,CompShg,Wd Sdng,VinylSd,TA,Fa,658,TA,Y,SBrkr,658,1184,1,TA,8,Typ,0,0,0,N,81000,96,10
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,SLvl,6,Hip,CompShg,MetalSd,MetalSd,TA,TA,1041,Ex,Y,SBrkr,1125,1125,1,TA,6,Typ,1,1,352,Y,125000,33,33
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1468,Ex,Y,SBrkr,1479,1479,2,Gd,6,Typ,0,2,577,Y,191000,9,8
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,10,Gable,CompShg,VinylSd,VinylSd,Ex,TA,1682,Ex,Y,SBrkr,1742,2332,2,Ex,9,Typ,1,3,846,Y,426000,1,0
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,861,Ex,Y,SBrkr,961,1367,1,TA,7,Typ,0,1,384,Y,119000,108,58
RL,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,TA,TA,804,Ex,Y,SBrkr,804,1961,2,Gd,7,Typ,1,2,560,Y,215000,8,7
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,0,TA,Y,SBrkr,882,882,1,TA,5,Typ,0,1,294,Y,106500,48,48
RL,Reg,Lvl,AllPub,Corner,Gtl,Feedr,Norm,1Fam,1Story,4,Gable,CompShg,WdShing,Wd Shng,TA,TA,788,TA,Y,FuseA,788,788,1,TA,4,Typ,2,0,0,Y,100000,65,56
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,735,Gd,Y,FuseA,735,1034,1,TA,5,Typ,0,1,240,Y,109000,67,57
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,1144,TA,Y,SBrkr,1144,1144,1,TA,6,Typ,0,1,596,Y,129000,54,54
RL,Reg,Low,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Hip,CompShg,MetalSd,MetalSd,TA,TA,894,TA,Y,SBrkr,894,894,1,TA,6,Typ,0,2,600,Y,123000,37,37
RL,Reg,Lvl,AllPub,Inside,Gtl,PosN,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,TA,TA,864,TA,Y,SBrkr,876,1812,2,TA,8,Typ,1,1,264,Y,169500,45,45
RM,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,TA,Fa,961,Gd,Y,Mix,1077,1077,1,TA,6,Maj2,0,1,338,N,67000,87,57
FV,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,CemntBd,CmentBd,Gd,TA,1092,Ex,Y,SBrkr,1112,1550,2,Gd,7,Typ,0,2,438,Y,241000,3,2
RL,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,8,Gable,CompShg,BrkFace,BrkFace,Gd,TA,1260,Ex,Y,SBrkr,1288,1288,1,Ex,4,Typ,2,2,500,Y,245500,12,12
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1310,Ex,Y,SBrkr,1310,1310,2,Gd,6,Typ,1,2,400,Y,164990,1,1
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,672,Ex,Y,SBrkr,672,672,1,TA,4,Typ,0,1,240,N,108000,68,11
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,8,Hip,CompShg,VinylSd,VinylSd,Gd,TA,1141,Gd,Y,SBrkr,1165,2263,2,Gd,10,Typ,1,2,420,Y,258000,8,8
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,MetalSd,MetalSd,TA,TA,806,Gd,Y,SBrkr,806,1572,2,TA,7,Typ,1,2,373,Y,168000,12,11
RL,IR1,Lvl,AllPub,Corner,Gtl,Feedr,Norm,1Fam,1Story,4,Gable,CompShg,Plywood,Plywood,TA,TA,1281,Ex,Y,SBrkr,1620,1620,2,TA,8,Min1,1,2,490,Y,150000,33,16
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,Gable,CompShg,MetalSd,MetalSd,TA,TA,1064,Ex,Y,FuseA,1166,1639,1,TA,6,Maj2,0,1,240,Y,115000,72,58
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,Gable,CompShg,Wd Sdng,Plywood,TA,TA,840,Ex,Y,SBrkr,840,1680,2,TA,8,Typ,0,1,308,Y,177000,93,32
RL,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1063,Ex,Y,SBrkr,1071,2172,2,Gd,9,Typ,1,3,947,Y,280000,1,1
FV,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1034,Ex,Y,SBrkr,1050,2078,2,Ex,8,Typ,1,3,836,Y,339750,1,0
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,BrkComm,Brk Cmn,TA,Fa,1276,TA,Y,FuseA,1276,1276,1,TA,5,Mod,0,1,350,Y,60000,51,51
RL,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,2fmCon,1Story,5,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,1056,TA,N,SBrkr,1056,1056,1,TA,5,Typ,0,2,572,Y,145000,51,51
FV,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,MetalSd,MetalSd,Ex,TA,1470,Ex,Y,SBrkr,1478,1478,2,Gd,7,Typ,1,2,484,Y,222000,1,1
RM,Reg,Lvl,AllPub,Inside,Gtl,Artery,Norm,1Fam,1Story,5,Gable,CompShg,WdShing,Wd Shng,TA,TA,1008,Gd,Y,FuseA,1028,1028,1,TA,5,Typ,1,2,360,Y,115000,83,60
RL,IR2,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1080,Ex,Y,SBrkr,1080,2097,2,Gd,9,Typ,1,3,678,Y,228000,15,15
RL,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1340,Ex,Y,SBrkr,1340,1340,2,Gd,6,Typ,0,2,396,Y,181134,0,0
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,Hip,CompShg,HdBoard,HdBoard,TA,TA,672,TA,Y,SBrkr,672,1400,1,TA,6,Typ,1,2,440,Y,149500,28,28
RL,IR1,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,2Story,6,Hip,CompShg,Wd Sdng,Stucco,TA,TA,1370,TA,N,FuseA,1370,2624,2,TA,10,Typ,1,3,864,N,239000,89,57
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,MetalSd,MetalSd,TA,TA,756,Fa,N,FuseF,756,1134,1,TA,7,Typ,0,1,240,P,126000,67,57
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,TA,TA,1056,Ex,Y,SBrkr,1056,1056,1,TA,6,Typ,1,1,304,Y,142000,42,42
RM,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,SFoyer,7,Gable,CompShg,VinylSd,VinylSd,TA,Gd,1344,Ex,Y,SBrkr,1344,1344,2,TA,8,Typ,0,4,784,Y,206300,11,10
RL,IR1,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,CemntBd,CmentBd,Gd,TA,1602,Gd,Y,SBrkr,1602,1602,2,Gd,8,Typ,1,2,529,Y,215000,32,9
RL,Reg,HLS,AllPub,Inside,Mod,Artery,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,HdBoard,TA,TA,988,Ex,Y,FuseA,988,988,1,TA,4,Typ,0,2,520,N,113000,54,54
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,TA,1470,Gd,Y,SBrkr,1470,2630,2,Gd,8,Typ,1,3,696,Y,315000,10,10
RL,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,1196,Gd,Y,FuseA,1196,1196,1,TA,6,Typ,1,1,297,Y,139000,52,52
