OverallQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice
7,1494,1494,1494,2,6,1,2,530,208506
7,768,1186,1986,2,7,3,2,486,208507
5,1040,1040,1040,1,6,0,2,576,208508
5,896,1112,2008,3,8,0,1,230,208509
8,965,1940,3194,2,10,2,2,380,208510
4,1029,1029,1029,1,5,0,1,261,208511
9,1440,1476,2153,2,8,2,3,736,208512
6,1032,1032,1032,2,6,1,2,564,208513
8,1299,1299,1872,2,7,1,2,531,208514
5,1120,1120,1120,1,6,0,0,0,208515
4,630,630,630,1,3,0,0,0,208516
6,936,1054,1054,1,6,0,2,480,208517
6,783,807,1509,2,7,1,2,393,208518
6,832,832,832,1,4,0,2,528,208519
9,1822,1828,1828,2,9,1,3,774,208520
8,1482,1482,2262,2,10,2,3,749,208521
3,864,864,864,1,5,0,0,0,208522
6,1522,1548,2614,2,9,1,2,624,208523
5,980,980,980,1,6,0,2,484,208524
6,756,756,1512,2,4,1,2,440,208525
6,732,1012,1790,1,8,1,2,484,208526
6,1116,1116,1116,1,5,0,2,440,208527
5,978,1422,1422,1,6,1,1,286,208528
6,1156,1520,1520,1,7,2,1,364,208529
5,1040,1040,2080,1,9,2,2,504,208530
6,1248,1350,1350,1,6,0,2,520,208531
5,636,1089,1750,1,8,0,1,240,208532
8,1554,1554,1554,2,6,1,2,627,208533
7,1386,1411,1411,2,6,1,2,544,208534
5,1056,1056,1056,1,6,0,1,260,208535
6,1056,1056,1056,0,4,0,2,576,208536
6,1440,1440,3395,2,14,0,0,0,208537
2,264,800,800,1,4,1,0,0,208538
5,811,811,1387,2,7,0,1,256,208539
5,796,796,796,1,4,0,0,0,208540
8,1520,1567,1567,2,7,1,3,648,208541
8,1518,1518,1518,1,6,1,2,588,208542
7,1057,1057,1929,2,7,1,2,650,208543
8,1952,2000,2704,2,9,3,2,538,208544
5,780,780,1620,2,7,0,2,462,208545
9,1766,1766,1766,2,7,1,3,478,208546
6,981,981,981,1,5,0,2,576,208547
5,0,1048,1048,1,7,0,2,420,208548
6,1094,1094,1094,1,5,2,2,495,208549
6,756,1051,1839,1,7,1,2,442,208550
4,630,630,630,1,3,0,0,0,208551
7,813,822,1665,2,7,0,2,562,208552
4,755,755,1510,1,7,1,1,296,208553
7,880,909,1716,2,7,1,2,512,208554
6,756,756,1469,1,7,0,1,216,208555
8,2109,2113,2113,2,7,1,3,839,208556
6,525,525,1092,1,6,0,1,264,208557
5,1053,1053,1053,1,5,0,1,312,208558
7,776,851,1502,1,6,1,1,270,208559
6,912,912,1458,1,6,1,1,330,208560
5,1486,1486,1486,1,7,0,2,480,208561
7,793,1142,1935,2,7,1,2,550,208562
8,1629,1686,2448,2,8,1,3,711,208563
6,1392,1392,1392,1,5,2,2,576,208564
4,1138,1181,1181,2,6,0,2,588,208565
8,2077,2097,2097,1,8,1,3,1134,208566
8,1406,1454,1936,2,7,1,2,504,208567
6,1021,1465,2380,2,7,1,2,596,208568
6,1408,1679,1679,2,7,1,2,575,208569
5,1188,1437,1437,1,6,1,2,576,208570
4,700,1180,1180,1,5,1,1,252,208571
6,738,738,1476,2,7,0,2,540,208572
6,672,697,1369,2,6,0,1,300,208573
6,1208,1208,1208,1,6,1,2,546,208574
6,1477,1839,1839,2,7,2,2,416,208575
6,1136,1136,1136,1,5,1,1,384,208576
6,855,855,1441,2,7,1,2,440,208577
4,1095,1095,1774,2,8,0,3,779,208578
5,768,792,792,1,5,0,1,240,208579
8,2046,2046,2046,2,7,1,3,834,208580
5,988,988,988,1,5,0,2,572,208581
6,923,923,923,2,5,1,1,264,208582
5,793,848,1520,1,6,0,1,281,208583
6,1291,1291,1291,1,6,1,2,431,208584
9,1626,1668,1668,2,7,1,3,702,208585
7,1195,1195,1839,2,7,0,2,486,208586
7,1190,1190,2090,2,6,1,2,577,208587
7,874,874,1761,3,7,0,2,578,208588
7,551,551,1102,2,4,0,2,480,208589
8,1419,1419,1419,2,7,1,2,567,208590
6,1362,1362,1362,2,6,1,2,460,208591
6,848,848,848,1,3,1,2,420,208592
10,2444,2444,4316,3,10,2,3,832,208593
7,1210,1238,2519,2,9,2,2,628,208594
5,1073,1073,1073,1,4,0,1,326,208595
5,927,1067,1539,1,5,0,2,576,208596
6,1112,1137,1137,2,5,1,2,551,208597
5,616,616,616,1,4,0,1,205,208598
5,980,1148,1148,1,6,0,1,308,208599
5,894,894,894,1,5,1,1,336,208600
7,1391,1391,1391,2,5,0,2,530,208601
8,1800,1800,1800,2,7,1,3,765,208602
7,1164,1164,1164,1,6,0,2,528,208603
8,1234,1264,2576,2,10,1,3,666,208604
5,360,1032,1812,2,8,1,2,672,208605
7,1473,1484,1484,2,7,0,2,606,208606
4,0,372,1092,2,7,0,0,0,208607
7,1643,1824,1824,2,5,2,2,739,208608
8,1324,1324,1324,2,6,1,2,550,208609
7,728,728,1456,2,8,1,2,400,208610
5,876,904,904,1,6,0,1,408,208611
3,270,729,729,1,5,0,0,0,208612
4,859,859,1178,1,7,0,1,384,208613
8,1228,1228,1228,2,5,1,2,472,208614
4,960,960,960,1,6,0,2,576,208615
6,725,725,1479,2,6,0,2,475,208616
6,1064,1350,1350,2,7,1,2,478,208617
7,718,1576,2554,1,8,0,2,704,208618
5,1176,1178,1178,1,5,1,2,439,208619
7,1311,1325,2418,2,9,1,3,983,208620
5,971,971,971,1,5,1,1,300,208621
8,1742,1742,1742,2,5,1,2,564,208622
6,848,848,848,1,3,0,2,420,208623
4,864,864,864,1,5,0,2,463,208624
4,941,997,1470,2,7,0,1,548,208625
9,1698,1698,1698,2,8,1,3,768,208626
4,864,864,864,1,5,0,2,660,208627
6,880,1680,1680,2,5,1,2,540,208628
7,1232,1232,1232,2,6,0,2,632,208629
5,1584,1776,1776,2,9,0,3,888,208630
4,780,848,1208,1,5,0,2,539,208631
8,1595,1616,1616,2,5,1,2,608,208632
7,868,1146,1146,2,6,1,2,438,208633
7,1153,1153,2031,2,8,1,2,541,208634
5,864,1144,1144,1,6,1,1,264,208635
5,948,948,948,1,6,0,1,300,208636
7,880,880,1768,1,6,2,2,320,208637
3,0,1040,1040,2,6,0,2,400,208638
8,893,901,1801,2,8,1,3,800,208639
5,1200,1200,1200,3,5,0,0,0,208640
7,864,864,1728,2,7,0,2,572,208641
5,264,768,1432,2,7,0,2,360,208642
6,912,912,912,1,5,0,1,288,208643
7,1349,1349,1349,2,6,0,2,539,208644
5,520,1464,1464,2,6,1,2,480,208645
8,1337,1337,1337,2,5,1,2,462,208646
8,1142,1175,2715,3,11,2,2,831,208647
7,952,980,2256,2,8,1,2,554,208648
7,1240,1320,2640,1,8,1,4,864,208649
7,1720,1720,1720,2,7,1,2,527,208650
4,0,1088,1529,2,9,0,1,240,208651
4,576,792,1140,1,7,0,0,0,208652
7,660,660,1320,2,6,0,2,400,208653
6,1479,1494,1494,2,6,0,2,576,208654
8,1030,1038,2098,2,8,1,3,878,208655
6,1026,1026,1026,1,5,0,2,440,208656
6,729,742,1471,2,6,0,2,440,208657
8,866,866,1768,2,7,0,2,578,208658
6,672,672,1386,2,6,1,2,440,208659
7,744,757,1501,2,6,0,2,440,208660
8,1318,1328,2531,2,9,1,3,752,208661
6,864,864,864,1,5,0,1,300,208662
5,1145,1301,1301,1,5,0,2,440,208663
7,756,764,1547,2,7,0,2,614,208664
8,1252,1268,2365,2,8,1,3,856,208665
8,1494,1494,1494,1,6,1,2,481,208666
9,1498,1506,1506,2,6,1,2,592,208667
7,980,980,1714,2,7,1,2,496,208668
6,983,983,1750,2,7,0,1,423,208669
7,1860,1836,1836,2,8,1,2,484,208670
8,1650,1690,3279,3,12,1,3,841,208671
5,858,858,858,1,5,0,2,576,208672
4,836,1220,1220,1,6,0,2,396,208673
6,1029,1117,1117,1,6,1,2,672,208674
5,912,912,912,1,5,0,1,275,208675
8,1935,1973,1973,2,9,1,3,895,208676
6,1204,1204,1204,2,5,0,2,412,208677
7,1614,1614,1614,2,7,0,3,865,208678
5,864,894,894,1,5,1,2,440,208679
5,0,2020,2020,2,10,2,2,630,208680
6,975,1004,1004,1,4,0,2,504,208681
7,1237,1253,1253,2,6,1,2,402,208682
6,761,810,1603,2,7,0,2,484,208683
7,1413,1430,1430,2,6,0,2,605,208684
5,1097,1110,1110,1,4,1,2,602,208685
6,742,742,1484,2,9,1,0,0,208686
6,1372,1342,1342,2,7,1,2,457,208687
5,686,966,1652,2,7,0,1,416,208688
7,956,956,2084,2,8,0,2,618,208689
4,901,901,901,1,4,0,1,281,208690
6,832,976,2087,2,9,0,2,444,208691
7,1145,1145,1145,2,5,1,2,397,208692
6,1029,1062,1062,1,5,2,2,539,208693
7,1117,1127,2013,2,8,1,2,455,208694
8,1496,1496,1496,2,7,0,2,474,208695
7,712,1086,1895,2,7,1,2,409,208696
6,650,888,1564,2,7,1,2,476,208697
6,660,1285,1285,1,7,1,2,528,208698
5,773,773,773,1,4,0,1,240,208699
9,1926,1966,3140,3,11,2,3,820,208700
5,731,981,1768,1,7,2,1,240,208701
6,616,616,1688,2,8,0,2,603,208702
4,1196,1196,1196,1,5,0,2,440,208703
7,728,728,1456,2,7,1,2,410,208704
9,1734,1734,2822,3,12,1,3,1020,208705
5,936,1128,1128,1,5,0,1,286,208706
7,1417,1428,1428,2,6,0,2,554,208707
5,980,980,980,2,6,0,1,384,208708
5,1324,1072,1576,1,6,1,2,528,208709
5,1024,1086,1086,1,6,1,2,484,208710
5,849,1075,2138,2,11,0,2,360,208711
6,1040,1309,1309,1,5,1,2,484,208712
6,848,848,848,1,4,1,2,420,208713
5,540,1044,1044,1,4,0,2,504,208714
6,1442,1442,1442,1,7,0,1,301,208715
5,686,686,1250,1,7,0,1,280,208716
7,1649,1661,1661,2,6,0,2,598,208717
5,1008,1008,1008,1,4,1,1,275,208718
8,1568,1689,1689,2,7,2,3,857,208719
6,1010,1052,1052,1,6,0,2,440,208720
7,1358,1358,1358,2,6,1,2,484,208721
7,798,798,1640,2,6,0,2,595,208722
4,936,936,936,1,4,0,2,576,208723
7,847,847,1733,2,7,1,2,433,208724
6,778,944,1489,2,7,1,1,240,208725
8,1489,1489,1489,2,7,1,2,776,208726
10,2078,2084,2084,2,7,1,3,1220,208727
5,784,784,784,1,5,0,0,0,208728
7,1454,1434,1434,2,6,1,2,527,208729
5,1013,1160,2126,2,7,0,2,538,208730
7,600,520,1223,2,4,0,2,480,208731
6,1392,1392,1392,1,6,2,2,458,208732
7,600,520,1200,2,4,0,2,480,208733
7,941,941,1829,2,7,1,2,613,208734
6,1516,1516,1516,1,6,0,2,472,208735
5,1144,1144,1144,1,6,0,2,456,208736
4,1067,1067,1067,2,4,0,2,436,208737
5,1559,1559,1559,1,5,0,2,812,208738
6,483,483,987,1,5,0,1,264,208739
5,1099,1099,1099,1,6,0,1,352,208740
5,768,768,1200,1,6,0,1,240,208741
6,672,810,1482,2,7,0,1,400,208742
5,650,958,1539,2,8,1,2,686,208743
6,1127,1165,1165,1,6,0,2,490,208744
5,1800,1800,1800,2,10,0,0,0,208745
5,876,876,1416,1,7,1,3,720,208746
5,1390,1701,1701,2,6,2,2,611,208747
7,740,1006,1775,2,7,1,2,425,208748
5,864,864,864,1,5,1,1,338,208749
6,907,1307,2358,3,10,1,2,360,208750
6,528,1094,1855,2,7,1,2,512,208751
6,848,848,848,1,3,0,2,420,208752
8,1273,1456,1456,2,7,1,2,400,208753
7,918,918,1646,2,7,2,1,240,208754
6,1127,1445,1445,1,7,1,2,645,208755
5,1763,1779,1779,1,6,1,2,454,208756
5,1040,1040,1040,1,6,0,1,260,208757
6,940,1026,1026,1,5,0,2,576,208758
6,702,702,1481,2,6,1,2,343,208759
7,1090,1370,1370,2,6,1,2,479,208760
6,1054,1512,2654,2,9,1,2,619,208761
7,912,912,1426,1,7,1,1,216,208762
5,1039,1039,1039,1,6,0,2,504,208763
6,1040,1097,1097,2,6,0,2,480,208764
5,1148,1148,1148,1,6,0,1,672,208765
7,1372,1372,1372,2,6,0,2,529,208766
5,1002,1002,1002,1,5,0,2,902,208767
8,1638,1646,1646,2,6,1,3,870,208768
4,1040,1120,1120,1,5,0,2,544,208769
5,0,1547,2320,2,7,1,2,672,208770
7,1050,1062,1949,2,8,1,2,574,208771
5,894,894,894,1,5,0,1,308,208772
6,804,804,1682,2,7,0,2,523,208773
5,105,910,910,1,5,0,2,414,208774
5,832,1036,1268,1,6,1,1,288,208775
5,676,676,1131,1,5,0,1,200,208776
8,1184,1184,2610,2,11,1,2,550,208777
4,1064,1040,1040,1,5,0,2,648,208778
9,1462,1462,2224,2,10,1,3,738,208779
5,1109,1155,1155,1,6,0,2,576,208780
5,864,864,864,1,6,0,1,336,208781
5,1090,1090,1090,1,5,0,2,450,208782
7,1156,1187,1717,2,7,1,2,400,208783
6,808,808,1593,2,7,1,2,389,208784
4,795,954,2230,1,10,0,1,440,208785
5,892,892,892,1,5,0,1,288,208786
9,1698,1709,1709,2,5,1,2,506,208787
5,1626,1712,1712,2,8,0,2,588,208788
5,816,872,1393,1,8,0,1,300,208789
8,2217,2217,2217,2,8,1,2,621,208790
6,1505,1505,1505,1,6,1,2,505,208791
5,672,672,924,1,6,1,2,576,208792
6,918,918,1683,2,7,1,2,440,208793
6,1059,1068,1068,1,6,0,1,264,208794
5,1383,1383,1383,1,6,1,1,354,208795
5,0,1535,1535,2,8,0,2,400,208796
6,780,983,1796,1,8,1,2,483,208797
4,951,951,951,1,6,0,1,327,208798
5,0,1120,2240,2,12,0,2,528,208799
9,2330,2364,2364,2,11,2,3,820,208800
5,912,1236,1236,1,6,1,1,288,208801
4,858,858,858,1,4,0,1,684,208802
5,992,1306,1306,1,5,0,1,756,208803
7,783,807,1509,2,8,1,2,393,208804
7,1670,1670,1670,2,7,1,3,690,208805
5,876,902,902,1,6,0,1,288,208806
5,1056,1063,1063,1,6,0,1,280,208807
8,1623,1636,1636,2,8,1,3,865,208808
7,1017,1020,2057,1,6,1,1,180,208809
5,864,902,902,1,5,0,2,484,208810
6,742,742,1484,2,8,1,2,390,208811
5,1105,1105,2274,2,12,0,2,480,208812
5,1268,1268,1268,1,5,0,1,252,208813
5,768,1015,1015,1,6,0,1,450,208814
5,1001,1001,2002,2,8,0,3,871,208815
6,612,612,1224,2,4,0,2,528,208816
4,546,546,1092,1,6,0,1,286,208817
2,480,480,480,0,4,0,1,308,208818
4,1134,1229,1229,1,6,0,1,284,208819
7,1104,912,2127,2,8,1,3,833,208820
6,1184,1414,1414,1,6,1,2,601,208821
6,928,936,1721,2,7,0,2,471,208822
5,1272,1272,2200,2,9,0,0,0,208823
6,1316,1316,1316,2,6,1,2,397,208824
6,1604,1617,1617,2,5,1,2,533,208825
6,1686,1686,1686,2,7,1,2,612,208826
5,1126,1126,1126,2,6,0,2,540,208827
8,1181,1234,2374,2,10,1,3,656,208828
7,832,1098,1978,2,9,1,2,486,208829
8,1753,1788,1788,2,7,1,2,522,208830
7,964,993,2236,2,8,1,2,642,208831
8,1466,1466,1466,2,7,0,3,610,208832
5,925,925,925,1,5,0,1,429,208833
9,1905,1905,1905,2,8,1,3,788,208834
7,1500,1500,1500,2,6,0,2,570,208835
7,585,2069,2069,2,9,1,2,505,208836
4,600,747,747,1,5,0,2,528,208837
7,1176,1200,1200,2,5,0,2,555,208838
7,1113,1113,1971,2,8,1,2,689,208839
7,1391,1391,1962,2,7,0,3,868,208840
7,1032,1207,2403,2,10,2,1,349,208841
6,1728,1728,1728,2,8,0,2,574,208842
7,992,1022,2060,2,8,1,2,390,208843
4,1440,1440,1440,2,8,0,0,0,208844
5,1632,1632,1632,2,8,0,2,576,208845
6,819,1344,1344,1,7,1,2,525,208846
5,1088,1188,1869,1,7,0,2,456,208847
5,1144,1144,1144,1,6,1,1,796,208848
8,1616,1629,1629,2,9,1,3,808,208849
7,936,936,1776,2,7,1,2,474,208850
6,1161,1381,1381,1,5,1,2,676,208851
5,864,864,864,1,5,0,2,720,208852
5,828,965,965,1,6,0,1,300,208853
5,768,768,768,1,5,0,1,396,208854
5,784,1168,1968,2,7,1,2,530,208855
6,945,980,980,2,4,0,0,0,208856
6,979,979,1958,2,8,0,2,492,208857
6,561,561,1229,1,5,1,2,462,208858
5,1057,1057,1057,1,6,0,2,576,208859
7,1337,1337,1337,2,6,0,2,531,208860
7,696,696,1416,2,6,0,2,484,208861
5,858,858,858,1,4,0,0,0,208862
6,1330,1542,2872,2,11,1,2,619,208863
6,804,804,1548,2,7,1,2,440,208864
9,1800,1800,1800,2,7,0,2,702,208865
7,817,824,1894,2,8,1,2,510,208866
6,783,783,1484,2,8,1,2,393,208867
5,728,976,1308,1,7,2,1,256,208868
5,1098,1098,1098,1,6,0,1,260,208869
3,600,600,968,1,6,0,0,0,208870
6,588,1095,1095,1,6,0,1,264,208871
4,720,720,1192,1,6,0,0,0,208872
7,764,764,1626,2,6,0,2,474,208873
6,918,918,918,2,5,1,1,264,208874
7,1428,1428,1428,2,6,0,2,480,208875
7,728,1136,2019,1,8,0,2,532,208876
7,673,673,1382,2,6,0,2,490,208877
4,440,869,869,1,4,0,0,0,208878
7,1241,1241,1241,1,4,0,2,569,208879
4,894,894,894,1,5,0,2,400,208880
5,1121,1121,1121,1,5,0,2,480,208881
7,944,999,999,1,6,0,2,588,208882
8,1225,1276,2612,2,8,1,3,676,208883
7,1266,1266,1266,2,6,1,2,388,208884
8,1128,1149,2290,2,9,1,2,779,208885
5,0,1302,1734,2,8,0,2,539,208886
5,1164,1164,1164,1,5,0,1,240,208887
6,485,1001,1635,1,5,0,1,255,208888
9,1930,1940,1940,2,8,1,3,606,208889
6,848,1118,2030,2,8,1,2,551,208890
7,770,778,1576,2,6,0,2,614,208891
8,1396,1407,2392,2,7,1,3,870,208892
8,916,916,1742,1,8,1,2,424,208893
6,822,1020,1851,2,7,1,2,440,208894
6,750,750,1500,2,6,0,2,564,208895
10,1700,1718,1718,2,7,1,3,786,208896
4,747,774,1230,1,5,0,1,305,208897
5,1050,1050,1050,1,6,0,1,368,208898
6,1442,1442,1442,2,6,1,2,615,208899
3,1007,1077,1077,1,6,1,1,210,208900
7,1187,1208,1208,2,6,0,2,632,181500
3,0,944,944,1,4,0,2,528,142125
5,691,691,691,1,4,0,1,216,147500
8,1574,1574,1574,2,7,1,3,824,181500
5,1680,1680,1680,2,8,0,2,528,136905
7,1346,1504,1504,2,7,1,2,457,181000
5,985,985,985,2,6,0,1,328,149900
6,1657,1657,1657,2,7,1,2,484,163500
4,546,546,1092,1,6,0,1,286,181500
7,1710,1710,1710,2,7,1,2,550,181500
5,1008,1008,1522,2,7,0,0,0,102000
5,720,720,1271,2,7,1,1,312,135000
5,0,1664,1664,2,8,0,0,0,100000
6,602,900,1502,1,7,2,1,180,165000
5,1022,1022,1022,1,4,0,1,280,181500
6,1082,1082,1082,1,5,1,1,240,119200
8,810,810,1665,2,6,0,2,528,181500
7,1504,1504,1504,2,6,1,2,478,181500
8,1220,1360,1360,1,4,1,2,565,187500
7,384,802,1472,2,7,1,2,402,160000
7,1362,1506,1506,2,6,1,2,440,181500
4,1132,1132,1132,1,5,0,2,451,176000
7,1199,1220,1220,2,6,0,2,632,194000
5,912,912,1248,1,6,0,1,160,87000
7,1346,1504,1504,2,7,1,2,437,191000
8,1565,2898,2898,2,10,1,2,665,181500
5,882,882,882,1,5,0,2,461,112500
5,1268,1264,1264,1,6,2,2,461,167500
8,1638,1646,1646,2,7,1,3,800,181500
5,768,968,1376,1,6,1,1,240,105000
6,672,672,1218,1,7,0,1,264,118000
5,686,948,1928,2,10,0,0,0,160000
7,824,1687,3082,2,12,2,2,672,197000
8,1338,1352,2520,2,10,1,3,796,181500
7,1654,1654,1654,2,6,0,3,900,181500
5,920,954,954,1,5,1,1,240,119750
4,0,845,845,1,5,0,1,290,84000
9,1620,1620,1620,2,6,1,3,912,181500
8,1055,1055,2263,2,7,1,2,905,181500
4,546,798,1344,1,6,1,0,0,97000
4,630,630,630,1,3,0,1,286,80000
5,1134,1803,1803,2,8,1,2,484,155000
6,800,800,1632,1,7,0,2,484,173000
6,1306,1306,1306,2,5,1,2,624,196000
7,1475,1532,2329,2,10,1,2,514,181500
8,2524,2524,2524,2,9,1,2,542,181500
3,0,1733,1733,2,8,1,2,452,139600
9,1992,1992,2868,3,11,1,3,716,181500
5,990,990,990,1,5,0,2,672,145000
5,0,1771,1771,1,9,1,2,336,115000
4,0,930,930,1,6,0,1,308,84900
7,1302,1302,1302,2,6,0,2,436,176485
7,1316,1316,1316,2,6,1,2,440,181500
6,816,1127,1977,1,9,1,2,540,165000
5,1216,1526,1526,1,7,1,1,364,144500
8,1065,1091,1989,2,7,1,2,586,181500
6,1193,1523,1523,2,7,1,2,478,180000
7,1364,1364,1364,2,6,1,2,484,185850
7,973,979,1850,2,7,1,2,467,181500
9,1104,1130,2184,2,10,1,3,836,181500
6,854,1096,1991,1,7,1,2,432,181500
8,1338,1338,1338,2,6,0,2,582,181500
3,894,894,894,1,6,0,3,1248,81000
5,662,1422,2337,2,10,0,2,560,90000
6,1103,1103,1103,1,5,1,2,440,90001
5,1154,1154,1154,1,6,1,2,480,90002
7,1306,1306,2260,2,7,0,2,533,90003
6,799,799,1571,2,7,1,2,380,90004
6,780,798,1611,1,7,0,2,442,90005
6,942,1291,2521,2,10,1,2,576,90006
5,845,893,893,1,4,0,2,576,90007
5,1048,1048,1048,1,6,0,1,286,90008
6,727,829,1556,1,8,0,2,441,90009
5,810,1002,1456,1,7,1,1,280,90010
6,690,698,1426,1,6,0,2,440,90011
7,1240,1240,1240,2,5,0,3,826,90012
7,800,960,1740,1,6,2,1,240,90013
5,796,1096,1466,2,7,1,2,566,90014
5,1096,1096,1096,1,6,0,1,299,90015
6,848,848,848,1,3,1,2,420,90016
5,990,990,990,1,5,0,1,299,90017
6,1258,1258,1258,2,5,0,2,528,90018
5,1040,1040,1040,1,5,0,1,308,133000
7,1459,1459,1459,2,6,1,2,527,133001
6,1251,1251,1251,1,6,2,1,461,133002
6,691,691,1498,2,6,1,2,409,133003
6,936,996,996,1,5,0,2,564,133004
4,546,546,1092,1,6,0,1,286,133005
8,1082,1082,1953,2,9,1,3,1043,133006
7,970,970,1709,2,7,0,2,380,133007
8,1247,1247,1247,1,4,1,2,550,133008
3,0,1040,1040,2,6,0,2,400,133009
7,600,624,1252,2,4,0,2,462,133010
6,1181,1390,1694,2,7,1,2,576,133011
5,864,1200,1200,1,6,0,2,884,133012
5,936,936,936,1,4,0,1,308,133013
6,1314,1314,1314,2,6,1,2,440,133014
6,684,773,1355,1,7,0,0,0,133015
8,1074,1088,1088,1,5,0,2,461,133016
4,672,757,1324,1,6,0,1,240,133017
7,1271,1601,1601,2,7,1,2,478,133018
2,290,438,438,1,3,0,1,246,133019
5,950,950,950,1,5,0,1,280,133020
5,1010,1134,1134,1,6,0,1,254,133021
6,655,1194,1194,1,6,1,2,539,133022
5,630,630,1302,2,6,0,2,440,133023
8,1463,1500,2622,2,9,2,2,712,133024
7,910,1442,1442,2,6,1,2,719,133025
7,868,887,2021,2,9,1,2,422,133026
6,924,948,1690,2,7,1,2,463,133027
8,1836,1836,1836,2,7,1,3,862,133028
6,773,773,1658,2,8,1,2,431,133029
7,803,1098,1964,2,8,1,2,483,133030
5,816,816,816,1,5,0,1,308,133031
5,1008,1008,1008,1,6,0,1,240,133032
5,833,833,833,1,4,0,1,326,133033
8,1734,1734,1734,2,7,1,3,928,133034
8,408,779,1419,2,7,1,2,527,133035
5,894,894,894,1,5,0,2,450,133036
5,533,1021,1601,1,6,0,1,300,133037
5,1040,1040,1040,1,6,0,1,286,133038
6,1012,1012,1012,1,6,1,1,308,133039
7,1552,1552,1552,2,7,0,3,782,112000
4,672,960,960,1,5,0,1,288,112000
5,698,698,698,1,4,0,0,0,118000
7,384,812,1482,2,7,1,2,392,163900
4,1005,1005,1005,1,5,1,2,672,115000
7,1373,1555,1555,2,7,1,3,660,174000
7,1530,1530,1530,2,7,1,3,630,112000
7,847,847,1959,2,8,1,2,434,112000
5,936,936,936,1,4,0,2,672,140000
4,1122,1328,1981,2,7,2,2,576,135000
5,974,974,974,1,5,0,0,0,93500
6,1008,1178,2210,2,8,0,1,205,117500
8,1128,1142,2020,2,8,1,2,466,169000
6,916,916,1600,2,7,1,2,460,169000
6,960,986,986,1,5,1,1,180,102000
6,1032,1032,1252,1,6,0,1,288,119000
5,780,780,1020,1,6,0,0,0,94000
6,1567,1567,1567,2,5,2,2,714,196000
5,915,1167,1167,1,6,1,2,495,144000
5,952,952,952,1,4,0,2,840,139000
5,780,1088,1868,2,9,1,2,484,197500
8,1466,1466,2828,3,11,1,3,1052,169000
5,1006,1006,1006,1,5,0,0,0,80000
4,672,672,924,1,5,0,1,280,80000
5,1042,1042,1576,1,8,1,1,225,149000
6,1298,1298,1298,2,5,1,2,403,180000
7,704,860,1564,1,7,1,1,234,174500
7,572,572,1111,1,5,1,1,288,116900
7,650,832,1482,1,7,0,2,324,143000
6,932,932,932,1,4,1,1,306,124000
5,1466,1466,1466,1,6,2,2,528,149900
6,1073,1811,1811,1,6,1,2,470,230000
6,816,816,816,1,5,0,1,432,120500
7,864,902,1820,1,8,2,2,492,169000
5,1437,1437,1437,2,6,1,2,528,169000
5,1219,1265,1265,2,6,1,2,502,179900
7,1314,1314,1314,2,6,1,2,626,169000
8,1580,1580,1580,2,7,0,3,830,169000
6,901,943,1876,2,8,1,2,540,185000
6,855,855,1456,2,7,1,2,440,146000
6,1296,1640,1640,1,7,1,2,924,169000
5,894,894,894,1,5,1,2,450,129000
4,1198,1258,1258,0,6,0,2,400,108959
5,1360,1432,1432,1,5,1,2,588,194000
7,1502,1502,1502,2,7,0,2,644,169000
8,1694,1694,1694,2,7,0,3,776,169000
6,959,959,1671,2,7,1,2,472,169001
6,1127,1236,2108,2,7,2,2,540,169002
10,1930,1831,3627,3,10,1,3,807,169003
6,1096,1118,1118,1,6,1,1,358,169004
6,1261,1261,1261,1,6,1,2,433,169005
7,625,625,1250,2,5,0,2,625,169006
5,1598,1636,3086,3,12,1,0,0,169007
6,952,1170,2345,2,9,1,2,360,169008
8,1683,2129,2872,2,9,1,2,541,169009
5,876,923,923,1,5,0,1,264,169010
6,818,818,1224,1,5,0,1,210,169011
5,731,820,1343,1,7,1,1,186,169012
5,0,1124,1124,1,5,1,0,0,169013
7,1216,1298,2514,2,8,0,2,693,169014
8,1600,1652,1652,2,5,1,2,482,169015
10,2396,2411,4476,3,10,2,3,813,169016
5,1120,1130,1130,1,5,1,2,720,169017
5,1572,1572,1572,1,5,2,3,995,169018
5,784,949,1221,1,7,0,1,392,169019
3,978,1014,1699,2,7,0,2,420,169020
8,1624,1624,1624,2,5,1,3,757,169021
7,831,831,1660,2,7,0,2,493,169022
7,994,1028,1804,2,7,1,2,442,169023
4,1249,1622,1622,1,7,1,4,1356,169024
8,776,764,1441,2,5,0,2,492,169025
5,702,842,1472,1,6,0,1,250,169026
6,1224,1224,1224,2,5,0,2,402,169027
6,663,663,1352,1,7,0,1,299,169028
6,728,728,1456,2,8,0,2,400,169029
7,879,879,1863,2,9,1,3,660,169030
7,815,815,1690,1,7,1,1,225,169031
7,1212,1212,1212,2,6,0,2,573,169032
4,1051,1382,1382,1,6,1,2,459,169033
4,864,864,864,1,5,0,1,280,169034
7,866,866,1779,2,6,0,2,546,169035
5,884,884,1348,1,5,1,1,216,169036
7,1630,1630,1630,2,6,1,2,451,169037
5,1056,1074,1074,1,6,0,2,495,169038
7,2158,2196,2196,2,7,1,3,701,169039
4,1056,1056,1056,1,5,0,1,384,169040
6,1682,1700,1700,2,7,0,2,544,169041
5,931,1283,1283,1,6,0,2,506,169042
8,1660,1660,1660,2,8,1,2,500,169043
